ID,Title,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=51b4480aad89516284fdcc3c8a8cf47f,퀀트운용본부 직원(신입 및 인턴),대한민국,,"자격요건 - 체험형 인턴 컴퓨터 관련 전공 우대 - 수학, 통계학, 금융공학, 공학계열 전공자 우대 - Python, SQL, VBA 등 프로그래밍 가능자 우대 - MS Office등 문서 작업에 능숙한 분 (워드, 엑셀..."
https://kr.indeed.com/viewjob?jk=51b4480aad895162807cfa585cf72eec,네이버 파이낸셜 플랫폼 운영,성남 서현동,,"Docker(kubernetes) 및 어플리케이션 배포 전략 지식 보유 - Shell script, python 및 web framework 등 기타 프로그래밍 언어 활용 가능 - 국가보훈대상자 및 장애인은 법령에 의거..."
https://kr.indeed.com/viewjob?jk=51b4480aad895162e0a4a749c585325e,2022 하반기 DGB금융지주 전문직 요강,서울 중구,,인터넷·IT·통신·모바일·게임>응용프로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹기획·웹마케팅·PM>제안·컨설팅|인터넷·IT·통신·모바일·게임>HTML·퍼블리...
https://kr.indeed.com/viewjob?jk=51b4480aad895162356779182611406f,AI 솔루션팀-NLP 경력 채용,서울,,학사 이상 졸업자 자연어 처리 관련 연구/개발자 (2년 이상) 머신러닝/딥러닝 모델 연구개발 경력자 Python 프로그래밍 가능자 자연어처리 관련 서비스 개발 경험자 [우대요건] 자연어 처리 관련 석사 학위 이상...
https://kr.indeed.com/viewjob?jk=51b4480aad8951625ea9ea023c6ccc03,"S/W 엔지니어, 데이터분석 신입/경력 정규직, 인턴",성남 분당구,,"케이션 제작 및 유지보수 업무- Python, Golang, QT 중 선택... 2. 시스템프로그래머- Python, Golang, QT 중 선택 가능3. 영상데이터 분석 및 모델링- python기반 영상데이터 분석 및 모델링..."
https://kr.indeed.com/viewjob?jk=51b4480aad8951625fe21ceab5a3ce0b,연구소 R&D 인프라 운영,성남 분당구,,"람들과 소통 능력 및 협업 경험 우대사항 - 개발프로젝트 참여 경험 - 클라우드 서비스 운영 경험 - Python, Groovy, Java 등 개발언어 가능 - 가상화 인프라(vSphere 등) 나 Docker 활용..."
https://kr.indeed.com/viewjob?jk=51b4480aad895162c759fe51adbc3ea1,SCM혁신 신입/경력 사원 공개채용,서울 신천동,,"system 유경험자 및 다양한 데이터 분석 및 분석툴 활용 유경험자 우대(Power BI, Tableau, Python, Visual Basic 등) 김천 상세보기 전형절차 - 지원서 접수 > 서류전형 > 직무적성..."
https://kr.indeed.com/viewjob?jk=51b4480aad895162bc8ebd8567d578d6,[TmaxOS/R&D] OS부문 개발자,성남 분당구,,솔루션 개발 [주 사용 언어] - C/C++ - JavaScript/TypeScript - Java - Python 자격요건 (공통) 해외 여행에 결격 사유가 없는 자 - 4년제 대졸(학사) 이상 / 기졸업자 또는 23년...
https://kr.indeed.com/viewjob?jk=51b4480aad8951629959129af3c5fd06,서버 개발자 Python(Django) Developer (주니어),서울 마포구,,요건- Python/Django 실무 1~3년- RDBMS에 대한 기본 지식- REST API에 대한 기본 지식- AWS 등 클라우드 환경에 대한 관심과 경험 인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷...
https://kr.indeed.com/viewjob?jk=51b4480aad8951629a9bd236f2d05ff3,Python 기반 빅데이터분석가,서울 방배동,"연봉 25,000,000원 - 30,000,000원",근무조건 정규직 급여 2500~3000만원 지원자격 신입 학력무관 기업정보 2011년 설립(업력 12년) 사원 25명 비상장 중소기업 상세보기
https://kr.indeed.com/viewjob?jk=51b4480aad8951625e761f105a377ae8,Python 분석 인원 정규직 채용,서울 휘경동,,"근무조건 정규직 급여 회사내규에 따름 주 5일 | 탄력근무제 서울 동대문구 지하철 서울1호선 회기역 지원자격 신입, 경력 무관, 경력무관 학력무관 기업정보 2019년 설립(업력 4년) 사원 25명 비상장 중소기업..."
https://kr.indeed.com/viewjob?jk=51b4480aad895162872035f47cfd4850,자산운용팀 전략/리스크팀 퀀트(겨울방학 인턴),대한민국,,공자의 경우 관련 과목 12학점 이상 이수 - Microsoft 엑셀 능숙자 선택 사항 (평가 가산점) - Python 또는 VBA 등 코딩 Skill 보유 - 관련 업종에서 2개월 이상 인턴쉽 또는 근무 경력 보유 - 관련...
https://kr.indeed.com/viewjob?jk=51b4480aad89516243b8170abbb59f88,Python 백엔드 개발,서울 강남구,,11명 회사주소 서울특별시 강남구 테헤란로 501 617호 누벤트 Python 백엔드 개발 모집부문 및 자격요건 모집부문 담당업무 자격요건 우대조건... 자격요건 및 우대사항] - python 기반 서비스 경험 - 하나 이상...
https://kr.indeed.com/viewjob?jk=51b4480aad8951624c25d6649f8434a8,[외국계 스타트업 미소] Business Analyst Intern (정규직 전환형),서울,,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL|인터넷·IT·통신·모바일·게임>데이터베이스...
https://kr.indeed.com/viewjob?jk=51b4480aad8951628af26b37623864c4,8퍼센트 개발자 (신입/경력),서울 종로구,,개발 금융 데이터 분석과 분석 플랫폼 운영 자격요건 컴퓨터 전공자 또는 웹 개발 경력 1년 이상 우대사항 Python 코드를 무리 없이 읽으실 수 있는 분 Linux/Mac 사용 가능한 분 새로운 기술에 대한 호기심을 가지신...
https://kr.indeed.com/viewjob?jk=51b4480aad8951626d86e9f32d31c84f,Data 분야 경력,서울,,"해가 뛰어난 자 - R, Python, SAS, SQL 등 활용 역량 우대사항(해당 내용 중 1개 이상) - ML/DL 경험 인력 우대 - 관련 분야 석사 이상 학위 소지자 우대 - R, Python등 데이터분석 모델링 경험..."
https://kr.indeed.com/viewjob?jk=51b4480aad89516267c19d7ac0857ecd,빅데이터 분야,서울,,"데이터 분석 모형 개발 ① R, Python, SQL 등 데이터 분석 도구... 분석 관련 자격 보유(빅데이터분석기사, ADsP, ADP 등) - R/ Python/SQL 등을 사용하여 데이터를 핸들링하고 대규모 데이터 셋에서 분석..."
https://kr.indeed.com/viewjob?jk=51b4480aad8951620110c83e312003be,2022년 메타버스 아카데미 1기 교육생 추가,성남 분당구,,웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>HTML·DHTML·mHTML|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷...
https://kr.indeed.com/viewjob?jk=51b4480aad89516224d38e6721dfb0e4,백엔드 개발자(Python),서울 서초구,,주식회사 액스 백엔드 개발자( Python) 기업소개 We’re Digitizing the Supply Chain for Travel... 웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python
https://kr.indeed.com/viewjob?jk=51b4480aad895162ac9068957c550cb3,데이터 전문가(모델러/분석가/엔지니어) 모집,성남 판교역,,대용량 데이터를 효율적으로 사용하기 위한 기반 데이터 가공 지원자격 데이터 사이언스를 위한 언어(R/ Python/Scala) 및 도구(scikit-learn/Spark MLlib/Tensorflow/Pytorch 등)를...
